"property","unit_of_measure","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20"
"date_soil_sampling",,"15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019","15/10/2019"
"X",,1405395.73217753,1405537.32685552,1405485.87058758,1405503.02916995,1405555.42570116,1405553.00173737,1405508.39275797,1405523.6558329,1405570.91876823,1405480.54300755,1405573.40069864,1405645.59617195,1405543.04447364,1405642.16770041,1405678.57614642,1405588.54197091,1405649.45843852,1405647.28553468,1405510.83150451,1405599.195788
"Y",,5175767.05335354,5175797.79447499,5175801.34968912,5175761.35421435,5175658.9230723,5175712.51449851,5175740.35425296,5175779.53874902,5175770.80459931,5175750.12956079,5175848.00503899,5175818.56879641,5175909.53494126,5175899.2440564,5175880.68983819,5175850.69626267,5175929.6903532,5175862.56909904,5175874.17312992,5175803.8847984
"Sand","%",28,23,18,21,41,28,28,24,30,17,18,30,16,18,32,30,16,29,16,31
"Silt","%",38,40,42,45,21,32,38,42,33,47,45,30,46,44,28,36,48,32,48,32
"Clay","%",34,37,40,34,38,40,34,34,37,36,37,40,38,38,40,34,36,39,36,37
"pH",,7.8,8,7.8,7.8,7.4,7.9,7.9,7.9,7.9,8,7.9,7.9,7.8,7.9,7.9,7.9,7.7,8,7.8,8
"EC","mS/cm",0.46,0.53,0.45,0.49,0.32,0.43,0.47,0.49,0.43,0.42,0.48,0.43,0.48,0.52,0.42,0.48,0.65,0.44,0.47,0.45
"Tot. lime","%",17.4,9.5,12.2,10.3,0.6,6.3,8.7,13.4,9.5,13.4,10.3,5.3,13,11.9,2.9,10.3,11.9,5.5,13,8.3
"Act. lime","%",5.6,5,5.6,4.4,0,2.7,4.3,4.6,4,4.9,5.6,3.1,6.5,4.8,2.1,4.5,5,3.2,6.5,3.6
"SOM","%",2.3,2.79,2.69,2.77,1.97,2.4,2.67,2.73,2.36,2.54,2.76,2.25,2.93,3.24,2.4,2.73,3.56,2.47,2.58,2.43
"Org. C","%",1.33,1.62,1.56,1.61,1.14,1.39,1.55,1.59,1.37,1.47,1.6,1.31,1.7,1.88,1.39,1.58,2.06,1.43,1.49,1.41
"Tot. N","%",0.139,0.165,0.16,0.164,0.122,0.145,0.159,0.163,0.143,0.152,0.164,0.137,0.173,0.189,0.145,0.162,0.205,0.148,0.154,0.146
"Ass. P","mg/kg",11,14,14,14,21,14,14,15,14,12,14,11,12,15,13,16,20,12,12,14
"Exc. Ca","mg/kg",4940,5960,5380,6000,5220,6040,5540,5900,5800,5820,6180,6060,5460,6640,5840,5920,6300,5980,5860,6200
"Exc. Mg","mg/kg",128,130,142,161,218,160,143,158,143,143,155,161,142,155,124,143,167,131,143,142
"Exc. K","mg/kg",449,359,398,492,347,328,355,410,343,394,324,297,398,304,289,351,476,355,351,285
"Exc. Na","mg/kg",80,66,71,83,92,108,89,85,99,80,96,124,76,110,87,85,85,80,71,92
"Ass. Fe","mg/kg",24,23.4,28.4,21.2,24,20,23.6,26.4,20,23.4,26.8,19,32,25.4,18,22.2,27,16.4,27.6,18.8
"Ass. Mn","mg/kg",29.6,34.4,22.8,30.4,70.4,32.4,39.8,29,42,24,31,37.4,24.2,45.6,51.8,36.6,31,56,26.8,31.2
"Ass. Cu","mg/kg",4.4,4.8,6.4,4.8,5.8,5.2,5,6.4,4.6,4.6,5.2,4,5,5.2,4.4,4.4,4.8,4.2,5,4
"Ass. Zn","mg/kg",0.9,3.4,2,1,1.5,1.4,1.9,1.5,1.2,0.9,0.9,0.9,0.8,1.1,1,0.8,1.5,1.1,0.6,1.7
"Sol. B","mg/kg",0.66,0.94,1,0.96,0.76,0.82,0.84,0.86,0.5,0.62,1.36,0.7,1.06,1.18,0.7,0.88,1.18,0.74,0.82,0.86
"Sol. Co","mg/kg",0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01
"CEC","meq/100 g",27.27,32.1,29.42,32.97,29.21,32.85,30.2,32.24,31.51,31.66,33.45,32.95,29.84,35.76,31.36,32.07,34.49,32.26,31.71,33.32
"Mg/K","-",0.9,1.2,1.2,1.1,2,1.6,1.3,1.3,1.4,1.2,1.6,1.8,1.2,1.7,1.4,1.3,1.1,1.2,1.3,1.6
"Moisture","%",18.2187426418648,18.8202545068929,20.8333333333333,21.5889464594128,20.0121169605561,22.2251240532776,19.6397654286512,21.6447724810401,19.175728126574,20.2099424447559,20.2852481152245,21.5383902936001,19.593914468954,21.4681440443213,19.4685914769045,20.1671380817691,23.7591020382206,20.0756494433343,20.2061022428773,20.6471206634739
